Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Dist.,%_of_FGA_by_Distance_2P,%_of_FGA_by_Distance_0-3,%_of_FGA_by_Distance_3-10,%_of_FGA_by_Distance_10-16,%_of_FGA_by_Distance_16-3P,%_of_FGA_by_Distance_3P,FG%_by_Distance_2P,FG%_by_Distance_0-3,FG%_by_Distance_3-10,FG%_by_Distance_10-16,FG%_by_Distance_16-3P,FG%_by_Distance_3P,%_of_FG_Ast'd_2P,%_of_FG_Ast'd_3P,Dunks_%FGA,Dunks_#,Corner_3s_%3PA,Corner_3s_3P%,1/2_Court_Att.,1/2_Court_Md.,-additional_-9999,Trp-Dbl,Season
1.0,Devin Booker,29.0,PHO,SG,14.0,14.0,501.0,21.2,0.614,0.296,0.386,3.4,9.5,6.5,32.3,1.1,0.8,14.7,31.7,1.3,0.3,1.6,0.157,3.7,-2.1,1.7,0.5,,bookede01,9.8,19.8,0.495,2.0,5.9,0.341,7.8,13.9,0.559,0.545,6.9,7.6,0.897,1.1,3.0,4.1,7.0,0.8,0.3,4.0,2.9,28.4,15.1,0.704,0.123,0.188,0.235,0.159,0.296,0.559,0.794,0.5,0.538,0.477,0.341,0.33,0.643,0.007,2.0,0.085,0.286,0.0,0.0,bookede01,0.0,2025-26
2.0,Franz Wagner,24.0,ORL,SF,14.0,14.0,501.0,19.0,0.587,0.304,0.457,5.9,13.4,9.8,17.7,1.5,1.0,9.5,25.7,1.0,0.6,1.6,0.156,2.4,-0.1,2.3,0.5,,wagnefr01,7.6,16.4,0.461,1.8,5.0,0.357,5.8,11.4,0.506,0.515,6.2,7.5,0.829,1.9,4.4,6.3,3.9,1.1,0.4,2.1,2.5,23.1,11.6,0.696,0.278,0.313,0.065,0.039,0.304,0.506,0.719,0.375,0.267,0.444,0.357,0.506,0.84,0.022,5.0,0.143,0.4,0.0,0.0,wagnefr01,0.0,2025-26
3.0,Tyrese Maxey,25.0,PHI,PG,12.0,12.0,484.0,23.4,0.597,0.393,0.339,0.9,13.0,6.9,32.1,1.7,1.9,8.5,30.2,1.6,0.5,2.0,0.201,6.0,0.3,6.3,1.0,,maxeyty01,10.6,23.3,0.454,3.8,9.2,0.418,6.8,14.2,0.476,0.536,7.0,7.9,0.884,0.3,4.8,5.1,7.8,1.4,0.8,2.5,2.7,32.0,15.2,0.607,0.186,0.229,0.111,0.082,0.393,0.476,0.577,0.438,0.452,0.391,0.418,0.37,0.674,0.025,6.0,0.055,0.5,0.0,0.0,maxeyty01,0.0,2025-26
4.0,Cooper Flagg,19.0,DAL,PG,14.0,14.0,478.0,12.6,0.526,0.293,0.234,3.6,16.8,10.3,14.9,1.9,1.9,13.4,20.9,-0.3,0.8,0.5,0.049,-2.8,0.7,-2.2,0.0,,flaggco01,6.0,13.4,0.447,1.1,3.9,0.273,4.9,9.5,0.519,0.487,2.5,3.1,0.795,1.1,5.6,6.7,3.2,1.4,0.8,2.3,2.4,15.6,12.5,0.707,0.213,0.309,0.08,0.106,0.293,0.519,0.775,0.431,0.467,0.3,0.273,0.333,0.8,0.08,11.0,0.218,0.0,0.0,0.0,flaggco01,0.0,2025-26
5.0,DeMar DeRozan,36.0,SAC,PF,14.0,14.0,476.0,15.9,0.585,0.167,0.308,1.6,9.6,5.4,15.7,1.6,0.4,5.9,21.1,0.7,0.1,0.8,0.078,0.1,-1.3,-1.2,0.1,,derozde01,7.1,14.1,0.5,0.9,2.4,0.394,6.1,11.8,0.521,0.533,3.7,4.4,0.852,0.5,2.8,3.3,3.5,1.1,0.1,1.0,2.0,18.8,14.0,0.833,0.106,0.187,0.318,0.222,0.167,0.521,0.714,0.649,0.46,0.409,0.394,0.523,1.0,0.0,0.0,0.545,0.5,0.0,0.0,derozde01,0.0,2025-26
6.0,Shai Gilgeous-Alexander,27.0,OKC,PG,14.0,14.0,470.0,32.9,0.652,0.282,0.429,1.2,14.6,8.2,35.9,2.0,2.9,6.2,34.2,2.5,1.1,3.6,0.366,9.8,3.4,13.2,1.8,,gilgesh01,11.1,21.0,0.531,2.2,5.9,0.373,8.9,15.1,0.592,0.583,8.1,9.0,0.897,0.4,4.7,5.1,6.6,1.4,0.9,1.6,1.8,32.6,14.0,0.718,0.194,0.143,0.276,0.105,0.282,0.592,0.772,0.5,0.568,0.452,0.373,0.176,0.258,0.007,2.0,0.048,0.5,0.0,0.0,gilgesh01,0.0,2025-26
7.0,Lauri Markkanen,28.0,UTA,PF,13.0,13.0,470.0,23.0,0.621,0.45,0.329,6.7,11.5,9.1,10.7,1.2,1.5,5.3,29.2,1.5,0.2,1.7,0.173,6.8,-1.8,5.0,0.8,,markkla01,10.3,21.5,0.479,3.8,9.7,0.389,6.5,11.8,0.552,0.566,6.2,7.1,0.88,2.3,3.8,6.2,2.1,0.9,0.5,1.4,1.9,30.6,15.1,0.55,0.157,0.271,0.086,0.036,0.45,0.552,0.727,0.513,0.542,0.1,0.389,0.776,0.939,0.096,26.0,0.19,0.583,0.0,0.0,markkla01,0.0,2025-26
8.0,Trey Murphy III,25.0,NOP,SF,13.0,13.0,465.0,17.3,0.598,0.518,0.241,4.8,17.8,10.7,15.2,1.9,0.5,11.1,22.0,0.7,0.1,0.8,0.087,2.1,-1.5,0.6,0.3,,murphtr02,6.8,15.0,0.456,2.8,7.8,0.356,4.1,7.2,0.564,0.549,3.4,3.6,0.936,1.7,5.2,6.9,3.3,1.4,0.2,2.1,2.2,19.8,16.4,0.482,0.205,0.185,0.077,0.015,0.518,0.564,0.775,0.389,0.467,0.333,0.356,0.66,0.833,0.103,18.0,0.059,0.333,0.0,0.0,murphtr02,0.0,2025-26
9.0,Derrick White,31.0,BOS,SG,14.0,14.0,461.0,15.9,0.479,0.56,0.185,2.9,10.1,6.4,23.1,2.6,3.7,6.8,23.0,0.4,0.6,1.0,0.106,1.4,1.3,2.7,0.6,,whitede01,5.5,15.4,0.356,2.6,8.6,0.306,2.9,6.8,0.421,0.442,2.4,2.9,0.825,0.9,3.0,3.9,5.4,1.7,1.2,1.2,1.7,16.0,18.8,0.44,0.074,0.176,0.102,0.088,0.56,0.421,0.625,0.342,0.409,0.421,0.306,0.5,0.622,0.009,2.0,0.132,0.313,0.0,0.0,whitede01,0.0,2025-26
10.0,Dyson Daniels,22.0,ATL,SG,14.0,14.0,459.0,12.2,0.499,0.115,0.186,5.6,13.1,9.5,23.2,3.3,1.2,19.2,13.9,0.1,0.8,0.8,0.088,-2.8,2.3,-0.5,0.2,,daniedy01,3.8,8.1,0.469,0.2,0.9,0.231,3.6,7.1,0.5,0.482,0.9,1.5,0.619,1.6,4.1,5.7,5.9,2.3,0.4,2.1,2.6,8.7,6.9,0.885,0.363,0.469,0.053,0.0,0.115,0.5,0.659,0.377,0.5,,0.231,0.52,1.0,0.08,9.0,0.231,0.333,0.0,0.0,daniedy01,0.0,2025-26
11.0,Desmond Bane,27.0,ORL,SG,14.0,14.0,455.0,12.1,0.539,0.344,0.226,3.8,10.7,7.3,21.5,0.6,0.9,13.3,22.9,0.2,0.4,0.6,0.062,-1.5,-1.0,-2.5,-0.1,,banede01,6.1,13.9,0.436,1.5,4.8,0.313,4.6,9.1,0.5,0.49,2.9,3.1,0.909,1.1,3.2,4.3,4.4,0.4,0.4,2.4,3.4,16.5,13.9,0.656,0.179,0.277,0.087,0.113,0.344,0.5,0.743,0.407,0.588,0.273,0.313,0.547,0.619,0.0,0.0,0.224,0.333,0.0,0.0,banede01,0.0,2025-26
12.0,Miles Bridges,27.0,CHO,PF,13.0,13.0,455.0,17.6,0.573,0.529,0.278,3.1,19.2,11.3,17.9,0.7,1.0,7.1,24.7,1.0,0.2,1.2,0.122,2.7,-1.5,1.2,0.4,,bridgmi02,7.2,17.2,0.422,3.3,9.1,0.364,3.9,8.1,0.486,0.518,4.3,4.8,0.903,0.9,6.0,6.9,4.0,0.5,0.4,1.5,1.9,22.1,16.0,0.471,0.135,0.278,0.04,0.018,0.529,0.486,0.667,0.403,0.556,0.25,0.364,0.549,0.907,0.045,7.0,0.28,0.424,0.0,0.0,bridgmi02,0.0,2025-26
13.0,Toumani Camara,25.0,POR,PF,13.0,13.0,450.0,9.4,0.522,0.597,0.146,5.7,11.2,8.3,11.3,1.5,1.2,14.5,15.8,0.1,0.2,0.3,0.031,-1.8,-1.1,-2.9,-0.1,,camarto01,4.5,11.1,0.41,2.1,6.6,0.314,2.5,4.5,0.552,0.503,1.2,1.6,0.714,1.9,3.3,5.2,2.9,1.1,0.5,2.0,3.2,12.3,16.4,0.403,0.215,0.174,0.007,0.007,0.597,0.552,0.774,0.32,0.0,0.0,0.314,0.813,0.815,0.063,8.0,0.314,0.333,0.0,0.0,camarto01,0.0,2025-26
14.0,Rui Hachimura,27.0,LAL,PF,13.0,13.0,450.0,13.5,0.686,0.38,0.219,2.5,10.0,6.4,5.2,1.0,0.7,9.6,15.9,0.7,0.3,1.0,0.107,0.6,-1.5,-0.9,0.1,,hachiru01,6.1,10.5,0.577,2.0,4.0,0.5,4.1,6.5,0.624,0.672,1.7,2.3,0.733,0.7,3.1,3.8,1.2,0.7,0.2,1.2,1.9,15.8,14.8,0.62,0.226,0.109,0.161,0.124,0.38,0.624,0.677,0.6,0.545,0.647,0.5,0.774,1.0,0.08,10.0,0.423,0.364,0.0,0.0,hachiru01,0.0,2025-26
15.0,Jaylen Brown,29.0,BOS,SF,14.0,14.0,449.0,21.8,0.587,0.271,0.282,3.0,16.2,9.4,22.9,1.2,1.1,12.1,35.1,0.7,0.5,1.2,0.123,3.9,-0.4,3.5,0.6,,brownja02,10.5,20.8,0.505,1.9,5.6,0.342,8.6,15.1,0.566,0.552,4.5,5.9,0.768,0.9,4.7,5.6,4.1,0.8,0.4,3.2,3.2,27.4,14.4,0.729,0.168,0.21,0.144,0.206,0.271,0.566,0.837,0.41,0.452,0.583,0.342,0.383,0.556,0.021,3.0,0.076,0.333,0.0,0.0,brownja02,0.0,2025-26
16.0,VJ Edgecombe,20.0,PHI,SG,12.0,12.0,448.0,11.7,0.512,0.391,0.183,5.6,11.1,8.4,15.6,1.7,1.0,11.6,19.2,0.2,0.4,0.5,0.059,-1.6,-0.4,-2.0,0.0,,edgecvj01,5.8,14.1,0.408,2.1,5.5,0.379,3.7,8.6,0.427,0.482,2.0,2.6,0.774,1.9,3.8,5.7,4.2,1.3,0.4,2.0,3.1,15.6,14.2,0.609,0.201,0.243,0.089,0.077,0.391,0.427,0.588,0.366,0.267,0.385,0.379,0.477,0.96,0.077,9.0,0.121,0.25,0.0,0.0,edgecvj01,0.0,2025-26
17.0,Payton Pritchard,28.0,BOS,PG,14.0,14.0,447.0,16.2,0.569,0.586,0.188,3.0,10.4,6.6,22.5,1.2,0.0,8.2,20.8,0.9,0.4,1.3,0.141,1.6,-0.6,1.0,0.3,,pritcpa01,5.9,13.3,0.446,2.5,7.8,0.321,3.4,5.5,0.623,0.54,2.0,2.5,0.8,0.9,3.0,3.9,5.0,0.8,0.0,1.3,2.0,16.4,20.2,0.414,0.07,0.102,0.156,0.086,0.586,0.623,0.692,0.789,0.586,0.438,0.321,0.146,0.857,0.0,0.0,0.046,0.4,0.0,0.0,pritcpa01,0.0,2025-26
18.0,Keyonte George,22.0,UTA,PG,13.0,13.0,447.0,16.6,0.567,0.393,0.464,2.1,10.2,6.1,32.4,1.4,0.9,14.5,26.9,0.7,0.2,0.8,0.09,1.3,-1.6,-0.3,0.2,,georgke01,6.7,16.2,0.412,1.8,6.4,0.277,4.9,9.8,0.5,0.467,7.0,7.5,0.929,0.7,3.2,3.9,7.0,1.0,0.3,3.3,2.2,22.2,15.4,0.607,0.062,0.327,0.123,0.095,0.393,0.5,0.769,0.522,0.423,0.35,0.277,0.484,0.696,0.024,5.0,0.145,0.25,0.0,0.0,georgke01,0.0,2025-26
19.0,Deni Avdija,25.0,POR,SF,13.0,13.0,443.0,20.2,0.635,0.398,0.466,4.0,18.0,10.5,22.0,0.7,2.2,15.0,28.0,1.0,0.3,1.3,0.143,4.0,-0.7,3.3,0.6,,avdijde01,8.3,17.0,0.489,2.5,6.8,0.375,5.8,10.2,0.564,0.563,6.8,7.9,0.864,1.3,5.2,6.5,4.8,0.5,0.8,3.6,3.7,26.0,13.1,0.602,0.308,0.217,0.045,0.032,0.398,0.564,0.691,0.479,0.3,0.286,0.375,0.413,0.879,0.041,9.0,0.114,0.5,0.0,0.0,avdijde01,0.0,2025-26
20.0,Evan Mobley,24.0,CLE,PF,13.0,13.0,443.0,18.4,0.557,0.337,0.411,8.3,20.9,14.2,18.1,1.8,4.4,12.5,23.3,0.5,0.7,1.1,0.124,1.6,1.1,2.7,0.5,,mobleev01,6.8,14.6,0.468,1.8,4.9,0.359,5.1,9.7,0.524,0.529,3.8,6.0,0.628,2.8,6.2,9.0,4.2,1.3,1.6,2.5,2.3,19.2,12.5,0.663,0.268,0.253,0.1,0.042,0.337,0.524,0.765,0.396,0.368,0.125,0.359,0.636,0.783,0.116,20.0,0.047,0.333,0.0,0.0,mobleev01,0.0,2025-26
21.0,Alperen Şengün,23.0,HOU,C,12.0,12.0,442.0,22.5,0.573,0.188,0.436,10.0,21.0,15.7,29.1,1.7,2.6,14.2,26.2,1.2,0.6,1.9,0.205,5.0,1.3,6.3,0.9,,sengual01,8.1,16.8,0.48,1.4,3.2,0.447,6.7,13.7,0.488,0.522,5.4,7.3,0.739,3.2,7.2,10.3,7.4,1.3,1.0,3.3,3.3,23.0,10.5,0.812,0.257,0.347,0.149,0.059,0.188,0.488,0.635,0.443,0.367,0.417,0.447,0.338,0.882,0.064,12.0,0.105,0.75,0.0,0.0,sengual01,0.0,2025-26
22.0,Julius Randle,31.0,MIN,PF,13.0,13.0,437.0,25.6,0.66,0.303,0.427,5.1,18.7,12.2,29.0,1.9,0.6,11.9,27.7,1.7,0.5,2.2,0.243,6.2,0.9,7.0,1.0,,randlju01,8.8,16.2,0.54,1.9,4.9,0.391,6.8,11.3,0.605,0.6,6.0,6.9,0.867,1.5,5.9,7.4,6.2,1.3,0.2,2.6,2.5,25.5,12.0,0.697,0.265,0.246,0.147,0.038,0.303,0.605,0.732,0.519,0.548,0.5,0.391,0.348,0.8,0.043,8.0,0.219,0.357,0.0,0.0,randlju01,2.0,2025-26
